Query,Closest_Match,manual,curated_match$Closest_Match,average_molecular_weight,direct_parent,kingdom,super_class,class,sub_class,molecular_framework
Uridine-5’-monophosphate,Uridine 5'-monophosphate,1,Uridine 5'-monophosphate,324.1813,Pyrimidine ribonucleoside monophosphates,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Aromatic heteromonocyclic compounds
"Uridine-2’,3’-cyclicmonophosphate",Uridine 5'-monophosphate,1,"Uridine 2',3'-cyclic phosphate",324.1813,Pyrimidine ribonucleoside monophosphates,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Aromatic heteromonocyclic compounds
"Uridine-3’,5’-cyclicmonophosphate",Uridine 5'-monophosphate,3,"Uridine 2',3'-cyclic phosphate",324.1813,Pyrimidine ribonucleoside monophosphates,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Aromatic heteromonocyclic compounds
O-Phospho-DTyrosine,O-Phosphotyrosine,3,O-Phosphotyrosine,261.1684,Phenylalanine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aromatic homomonocyclic compounds
O-Phospho-LTyrosine,O-Phosphotyrosine,1,O-Phosphotyrosine,261.1684,Phenylalanine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aromatic homomonocyclic compounds
Phosphocreatin,Phosphocreatine,1,Phosphocreatine,211.1131,Alpha amino acids and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
PhosphorylCholine,Phosphorylcholine,1,Phosphorylcholine,184.1507,Phosphocholines,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Aliphatic acyclic compounds
Thymidine-3’- monophosphate,Thiamine monophosphate,1,thymidine 3'-monophosphate,322.21,Ribonucleoside 3'-phosphates,Organic compounds,"Nucleosides, nucleotides, and analogues",Ribonucleoside 3'-phosphates,NA,Aromatic heteromonocyclic compounds
Thymidine-5’- monophosphate,Thiamine monophosphate,3,thymidine 3'-monophosphate,322.21,Ribonucleoside 3'-phosphates,Organic compounds,"Nucleosides, nucleotides, and analogues",Ribonucleoside 3'-phosphates,NA,Aromatic heteromonocyclic compounds
Inositol Hexaphosphate,Inositol oxygenase,1,myo-Inositol hexakisphosphate,660.04,Inositol phosphates,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Aliphatic homomonocyclic compounds
"Thymidine 3’,5’- cyclic monophosphate",Thiamine monophosphate,3,"Thymidine 3',5'-cyclic monophosphate",304.19,Pyrimidones,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Aromatic heteropolycyclic compounds
Control,Control,1,Control,0,Control,Control,Control,Control,Control,Control
Sulfate,Sulfate,1,Sulfate,98.08,Non-metal sulfates,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal sulfates,NA
Thiosulfate,Thiosulfate,1,Thiosulfate,114.14,Non-metal thiosulfates,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal thiosulfates,NA
T etrathionate,5-Tetrathiane,1,Tetrathionic Acid,226.25,Non-metal tetrathionates,Inorganic compounds,Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal tetrathionates,NA
Thiophosphate,Triphosphate,0,Triphosphate,NA,NA,NA,NA,NA,NA,NA
Dithiophosphate,Diethylphosphate,0,Diethylphosphate,NA,NA,NA,NA,NA,NA,NA
L-Cysteine,L-Cysteine,1,L-Cysteine,121.158,Cysteine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
D-Cysteine,D-Cysteine,1,D-Cysteine,121.15,Cysteine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
L-Cysteinyl- Glycine,Cysteinylglycine,1,Cysteinylglycine,178.21,Dipeptides,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
L-Cysteic Acid,Cysteic acid,1,Cysteic acid,169.156,Alpha amino acids,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
Cysteamine,Cysteamine,1,Cysteamine,77.149,Alkylthiols,Organic compounds,Organosulfur compounds,Thiols,Alkylthiols,Aliphatic acyclic compounds
L-Cysteine Sulfinic Acid,L-Cysteine,1,Cysteine sulfinic acid,121.158,Cysteine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
N-Acetyl-L- Cysteine,N6-Acetyl-L-lysine,1,Acetylcysteine,163.20,N-acyl-L-alpha-amino acids,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
S-Methyl-L- Cysteine,Methylcysteine,1,Methylcysteine,135.18,Cysteine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
Cystathionine,L-Cystathionine,1,L-Cystathionine,222.262,L-cysteine-S-conjugates,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
Lanthionine,Lenthionine,1,Lanthionine,208.23,L-cysteine-S-conjugates,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
Glutathione,Glutathione,1,Glutathione,307.323,Peptides,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
"D,L-Ethionine",L-Methionine,0,L-Methionine,NA,NA,NA,NA,NA,NA,NA
L-Methionine,L-Methionine,1,L-Methionine,149.211,Methionine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
D-Methionine,L-Methionine,3,L-Methionine,149.211,Methionine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
Glycyl-L- Methionine,Glycyl-Methionine,1,Glycyl-Methionine,206.263,Dipeptides,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
"N-Acetyl-D,L- Methionine",N-Acetyl-L-methionine,3,N-Acetyl-L-methionine,191.248,Methionine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
L-Methionine Sulfoxide,Methionine sulfoxide,1,Methionine sulfoxide,165.21,L-alpha-amino acids,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
L-Methionine Sulfone,Methionine sulfoximine,1,Methionine sulfone,181.21,L-alpha-amino acids,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
L-Djenkolic Acid,Linoleic acid,1,Djenkolic acid,254.33,Cysteine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
Thiourea,Thiourea,1,Thiourea,76.121,Thioureas,Organic compounds,Organosulfur compounds,Thioureas,NA,Aliphatic acyclic compounds
1-Thio--DGlucose,8-di-O-b-D-glucoside,1,Thioglucose,196.22,Monosaccharides,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic acyclic compounds
"D,L-Lipoamide",Lipoamide,1,Lipoamide,205.341,Lipoamides,Organic compounds,Organoheterocyclic compounds,Dithiolanes,Lipoamides,Aliphatic heteromonocyclic compounds
Taurocholic acid,Taurocholic acid,1,Taurocholic acid,515.703,"Trihydroxy bile acids, alcohols and derivatives",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Aliphatic homopolycyclic compounds
Taurine,Taurine,1,Taurine,125.147,Organosulfonic acids,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Aliphatic acyclic compounds
Hypotaurine,Hypotaurine,1,Hypotaurine,109.147,Sulfinic acids,Organic compounds,Organic acids and derivatives,Sulfinic acids and derivatives,Sulfinic acids,Aliphatic acyclic compounds
p-Amino Benzene Sulfonic Acid,p-Aminobenzoic acid,1,Sulfanilic acid,173.19,Benzenesulfonic acids and derivatives,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,Aromatic homomonocyclic compounds
L-Galactonic Acid-?-Lactone,Galactonic acid,1,L-Gulonolactone,178.14,Gamma butyrolactones,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Aliphatic heteromonocyclic compounds
D-Galacturonic Acid,Galacturonic acid,1,Galacturonic acid,194.1394,Glucuronic acid derivatives,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic acyclic compounds
Phenylethyl- amine,Phenylethylamine,1,Phenylethylamine,121.1796,Phenethylamines,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Aromatic homomonocyclic compounds
2-Aminoethanol,4-Aminophenol,1,4-Amino-1-butanol,89.14,Alkanolamines,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Aliphatic acyclic compounds
L-Arabinose,L-Arabinose,1,L-Arabinose,150.1299,Pentoses,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic heteromonocyclic compounds
N-Acetyl-DGlucosamine,N-Acetyl-D-glucosamine,1,N-Acetyl-D-glucosamine,221.2078,Acylaminosugars,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic heteromonocyclic compounds
D-SaccharicAcid,Saccharin,1,Glucaric acid,210.14,Glucuronic acid derivatives,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic acyclic compounds
SuccinicAcid,Succinic acid,1,Succinic acid,118.088,Dicarboxylic acids and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Aliphatic acyclic compounds
D-Galactose,D-Galactose,1,D-Galactose,180.1559,Hexoses,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic heteromonocyclic compounds
L-AsparticAcid,L-Aspartic acid,1,L-Aspartic acid,133.1027,Aspartic acid and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
L-Proline,L-Proline,1,L-Proline,115.1305,Proline and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic heteromonocyclic compounds
D-Alanine,D-Alanine,1,D-Alanine,89.0932,Alanine and derivatives,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Aliphatic acyclic compounds
D-Trehalose,Trehalose,1,Trehalose,342.2965,O-glycosyl compounds,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aliphatic heteromonocyclic compounds
