"","Query","Closest_Match","Distance"
"1","Uridine-5’-monophosphate","Uridine 5'-monophosphate",0.0707
"2","Uridine-2’,3’-cyclicmonophosphate","Uridine 5'-monophosphate",0.1629
"3","Uridine-3’,5’-cyclicmonophosphate","Uridine 5'-monophosphate",0.154
"4","O-Phospho-DTyrosine","O-Phosphotyrosine",0.0722
"5","O-Phospho-LTyrosine","O-Phosphotyrosine",0.0722
"6","Phosphocreatin","Phosphocreatine",0.0222
"7","PhosphorylCholine","Phosphorylcholine",0.0392
"8","Thymidine-3’- monophosphate","Thiamine monophosphate",0.1051
"9","Thymidine-5’- monophosphate","Thiamine monophosphate",0.1051
"10","Inositol Hexaphosphate","Inositol oxygenase",0.1949
"11","Thymidine 3’,5’- cyclic monophosphate","Thiamine monophosphate",0.1752
"12","Control","Cortol",0.1032
"13","Sulfate","Sulfate",0
"14","Thiosulfate","Thiosulfate",0
"15","T etrathionate","5-Tetrathiane",0.153
"16","Thiophosphate","Triphosphate",0.1851
"17","Dithiophosphate","Diethylphosphate",0.1454
"18","L-Cysteine","L-Cysteine",0
"19","D-Cysteine","D-Cysteine",0
"20","L-Cysteinyl- Glycine","Cysteinylglycine",0.1042
"21","L-Cysteic Acid","Cysteic acid",0.0992
"22","Cysteamine","Cysteamine",0
"23","L-Cysteine Sulfinic Acid","L-Cysteine",0.1944
"24","N-Acetyl-L- Cysteine","N6-Acetyl-L-lysine",0.135
"25","S-Methyl-L- Cysteine","Methylcysteine",0.1405
"26","Cystathionine","L-Cystathionine",0.0444
"27","Lanthionine","Lenthionine",0.0606
"28","Glutathione","Glutathione",0
"29","D,L-Ethionine","L-Methionine",0.1325
"30","L-Methionine","L-Methionine",0
"31","D-Methionine","L-Methionine",0.0556
"32","Glycyl-L- Methionine","Glycyl-Methionine",0.05
"33","N-Acetyl-D,L- Methionine","N-Acetyl-L-methionine",0.0714
"34","L-Methionine Sulfoxide","Methionine sulfoxide",0.0621
"35","L-Methionine Sulfone","Methionine sulfoximine",0.1258
"36","L-Djenkolic Acid","Linoleic acid",0.2161
"37","Thiourea","Thiourea",0
"38","1-Thio--DGlucose","8-di-O-b-D-glucoside",0.2542
"39","D,L-Lipoamide","Lipoamide",0.1026
"40","Taurocholic acid","Taurocholic acid",0
"41","Taurine","Taurine",0
"42","Hypotaurine","Hypotaurine",0
"43","p-Amino Benzene Sulfonic Acid","p-Aminobenzoic acid",0.2416
"44","L-Galactonic Acid-?-Lactone","Galactonic acid",0.1926
"45","D-Galacturonic Acid","Galacturonic acid",0.0722
"46","Phenylethyl- amine","Phenylethylamine",0.037
"47","2-Aminoethanol","4-Aminophenol",0.153
