sample_name,metabolite,forward_name,reverse_name,Plate
21Sep90-DL001,Uridine-3’-monophosphate,21Sep90-DL001_S1_L001_R1_001.fastq.gz,21Sep90-DL001_S1_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AD9
21Sep90-DL002,Uridine-5’-monophosphate,21Sep90-DL002_S2_L001_R1_001.fastq.gz,21Sep90-DL002_S2_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AD10
21Sep90-DL003,"Uridine-2’,3’-cyclicmonophosphate",21Sep90-DL003_S3_L001_R1_001.fastq.gz,21Sep90-DL003_S3_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AD11
21Sep90-DL004,"Uridine-3’,5’-cyclicmonophosphate",21Sep90-DL004_S4_L001_R1_001.fastq.gz,21Sep90-DL004_S4_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AD12
21Sep90-DL005,O-Phospho-DTyrosine,21Sep90-DL005_S5_L001_R1_001.fastq.gz,21Sep90-DL005_S5_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE1
21Sep90-DL006,O-Phospho-LTyrosine,21Sep90-DL006_S6_L001_R1_001.fastq.gz,21Sep90-DL006_S6_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE2
21Sep90-DL007,Phosphocreatin,21Sep90-DL007_S7_L001_R1_001.fastq.gz,21Sep90-DL007_S7_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE3
21Sep90-DL008,PhosphorylCholine,21Sep90-DL008_S8_L001_R1_001.fastq.gz,21Sep90-DL008_S8_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE4
21Sep90-DL009,O-PhosphorylEthanolamin,21Sep90-DL009_S9_L001_R1_001.fastq.gz,21Sep90-DL009_S9_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE5
21Sep90-DL010,Phosphono Acetic Acid,21Sep90-DL010_S10_L001_R1_001.fastq.gz,21Sep90-DL010_S10_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE6
21Sep90-DL011,2-Aminoethyl Phosphonic Acid ,21Sep90-DL011_S11_L001_R1_001.fastq.gz,21Sep90-DL011_S11_L001_R2_001.fastq.gz,Biolog_Plate&Well_PM4AE7
