"","metabolite","sumOfSqure","r2","F","p.value","qvalue"
"1","Uridine-5’-monophosphate",0.0964422517788138,0.126424505722208,1.01304529013499,0.395252094958101,0.928920131274794
"2","Uridine-2’,3’-cyclicmonophosphate",0.0820626806071061,0.0946928788705276,0.73218263352078,0.630987380252395,0.928920131274794
"3","Uridine-3’,5’-cyclicmonophosphate",0.0634510156005099,0.0873720892599009,0.670157703508457,0.635587288254235,0.928920131274794
"4","O-Phospho-DTyrosine",0.139360043522905,0.184321302831723,1.58181049021055,0.184036319273615,0.928920131274794
"5","O-Phospho-LTyrosine",0.272454829118181,0.2238930798266,2.01937583346897,0.132157356852863,0.928920131274794
"6","Phosphocreatin",0.105308754891167,0.125742024424734,1.00678998140562,0.46745065098698,0.928920131274794
"7","PhosphorylCholine",0.0801750986468871,0.106614236432494,0.835361033790489,0.572808543829123,0.928920131274794
"8","Thymidine-3’- monophosphate",0.0504592496787053,0.0611408024379059,0.455857085041802,0.857282854342913,0.955771653797693
"9","Thymidine-5’- monophosphate",0.110974889706007,0.148600429677357,1.22175655708554,0.295914081718366,0.928920131274794
"10","Inositol Hexaphosphate",0.0980099504530102,0.114100635973375,0.901574698262932,0.53534929301414,0.928920131274794
"11","Thymidine 3’,5’- cyclic monophosphate",0.149135973147871,0.18760549574575,1.61650339009341,0.152896942061159,0.928920131274794
"12","Sulfate",0.120696744364216,0.150953227596495,1.24453990936708,0.286794264114718,0.928920131274794
"13","Thiosulfate",0.114006705568029,0.153891820949317,1.27317377767682,0.285494290114198,0.928920131274794
"14","T etrathionate",0.140567996857487,0.147797200961809,1.21400728547279,0.325493490130197,0.928920131274794
"15","Thiophosphate",0.0508703162699818,0.0385437143789112,0.400888890689528,0.866862662746745,0.955771653797693
"16","Dithiophosphate",0.0619333557325239,0.0696482311203273,0.748622547406961,0.636487270254595,0.928920131274794
"17","L-Cysteine",0.160253731038542,0.0929012726188407,1.3314058410507,0.23707525849483,0.928920131274794
"18","D-Cysteine",0.0792440486260661,0.108686955077673,0.85358190354996,0.551428971420572,0.928920131274794
"19","L-Cysteinyl- Glycine",0.0763578818110286,0.0905416432188384,0.696888975516198,0.715645687086258,0.945902900123816
"20","L-Cysteic Acid",0.168736465880287,0.177906960435036,1.51485131622604,0.190636187276254,0.928920131274794
"21","Cysteamine",0.0785421376303034,0.0985147726152936,0.764963625979385,0.619587608247835,0.928920131274794
"22","L-Cysteine Sulfinic Acid",0.136574280805182,0.150778087886626,1.24283959251569,0.281414371712566,0.928920131274794
"23","N-Acetyl-L- Cysteine",0.0510558123087161,0.0674309540365412,0.506146628283311,0.836463270734585,0.955771653797693
"24","S-Methyl-L- Cysteine",0.119444035588884,0.131378101658585,1.05874225985565,0.346373072538549,0.928920131274794
"25","Cystathionine",0.0667912973566426,0.0867863139787722,0.665237728201638,0.703805923881522,0.945902900123816
"26","Lanthionine",0.0378190117819334,0.0510823805099897,0.376825823681201,0.928481430371393,0.961030779384412
"27","Glutathione",0.0859110799803276,0.0975049124758594,0.756274905831838,0.631667366652667,0.928920131274794
"28","D,L-Ethionine",0.129744563756871,0.151096118142421,1.24592765989306,0.295634087318254,0.928920131274794
"29","L-Methionine",0.246698172281845,0.0881829027805313,1.83751232340275,0.0723385532289354,0.928920131274794
"30","D-Methionine",0.0766796325719017,0.0818485038913373,0.624014151986476,0.830643387132257,0.955771653797693
"31","Glycyl-L- Methionine",0.0827574233577405,0.0981049670391416,0.761435360187636,0.667706645867083,0.928920131274794
"32","N-Acetyl-D,L- Methionine",0.047133398953555,0.0604609721630676,0.450462186883129,0.821423571528569,0.955771653797693
"33","L-Methionine Sulfoxide",0.12405945310362,0.150917310724971,1.24419115878667,0.31057378852423,0.928920131274794
"34","L-Methionine Sulfone",0.249769676144779,0.251183439565456,2.34808385639581,0.0466590668186636,0.928920131274794
"35","L-Djenkolic Acid",0.0601703031127322,0.0818082050702578,0.623679539126815,0.714545709085818,0.945902900123816
"36","Thiourea",0.0367341074607251,0.0510429833121351,0.376519565061049,0.938681226375472,0.961030779384412
"37","1-Thio-ß-DGlucose",0.148084995063316,0.132959953564152,1.07344485272046,0.356852862942741,0.928920131274794
"38","D,L-Lipoamide",0.140770423675918,0.148256149020554,1.21843326717356,0.309673806523869,0.928920131274794
"39","Taurocholic acid",0.0896777953802883,0.114983290895436,0.909455186538128,0.551188976220476,0.928920131274794
