"","taxa","med_abun","max_abun","prev"
"1","f__NS11-12 marine group",0.00333653335241887,0.150988048751627,0.859712230215827
"2","f__env.OPS 17",0.00585899485321425,0.369634111207145,0.977517985611511
"3","g__Bdellovibrio",0.000912924836545019,0.0810810810810811,0.676258992805755
"4","g__Chryseobacterium",0.000783420083674911,0.28516387818652,0.659172661870504
"5","g__Curvibacter",0.236320238687074,0.806412053258584,0.998201438848921
"6","g__Flavobacterium",0.00452044629291229,0.336898395721925,0.997302158273381
"7","g__Flectobacillus",0,0.281081081081081,0.72931654676259
"8","g__Fluviicola",0.00219667907166451,0.131210085427552,0.716726618705036
"9","g__Legionella",0.0526180426547686,0.264467888968555,0.992805755395683
"10","g__Paucibacter",0.00140041356326122,0.13959804454101,0.946043165467626
"11","g__Perlucidibaca",0.00132339063124193,0.105212355212355,0.70773381294964
"12","g__Pseudomonas",0.00187477804727623,0.782354892205638,0.936151079136691
"13","g__Ralstonia",0.00462581157222569,0.2368,0.927158273381295
"14","g__Rheinheimera",0.0129332379247843,0.566485100929189,0.901079136690647
"15","g__Rhodoferax",0.00931390055898071,0.571544058205335,0.99910071942446
"16","g__Sphaerotilus",0.000565262070580328,0.412966252220249,0.56294964028777
"17","g__Undibacterium",0.00568376190666584,0.330276322058123,0.964028776978417
"18","g__Xylophilus",0.000718490886171558,0.0791658230411014,0.579136690647482
"19","o__Flavobacteriales",0,0.031637069094165,0.412769784172662
"20","s__Acidovorax delafieldii",0.0130031885491597,0.306077348066298,0.99910071942446
"21","s__Acinetobacter bereziniae",0.0332860515746329,0.667100900047371,0.901079136690647
"22","s__Emticicia oligotrophica",0.0112827779238457,0.21984911274041,0.97931654676259
"23","s__Limnobacter litoralis",0.0165777948112166,0.682162498702916,0.967625899280576
"24","s__Stenotrophomonas maltophilia",0,0.296155871511322,0.482014388489209
