"","ko","module","ko_description","module_description"
"1","K00844","M00001","HK; hexokinase [EC:2.7.1.1]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"2","K12407","M00001","GCK; glucokinase [EC:2.7.1.2]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"3","K00845","M00001","glk; glucokinase [EC:2.7.1.2]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"4","K25026","M00001","glk; glucokinase [EC:2.7.1.2]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"5","K00886","M00001","ppgK; polyphosphate glucokinase [EC:2.7.1.63]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"6","K08074","M00001","ADPGK; ADP-dependent glucokinase [EC:2.7.1.147]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"7","K00918","M00001","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"8","K01810","M00001","GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"9","K06859","M00001","pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"10","K13810","M00001","tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"11","K15916","M00001","pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"12","K00850","M00001","pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"13","K16370","M00001","pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"14","K21071","M00001","pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"15","K24182","M00001","PFK9; 6-phosphofructokinase [EC:2.7.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"16","K00918","M00001","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"17","K01623","M00001","ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"18","K01624","M00001","FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"19","K11645","M00001","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"20","K16305","M00001","K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"21","K16306","M00001","K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"22","K01803","M00001","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"23","K00134","M00001","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"24","K00150","M00001","gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"25","K00927","M00001","PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"26","K11389","M00001","gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"27","K01834","M00001","PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"28","K15633","M00001","gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"29","K15634","M00001","gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"30","K15635","M00001","apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"31","K01689","M00001","ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"32","K27394","M00001","ENO4; enolase 4 [EC:4.2.1.11]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"33","K00873","M00001","PK, pyk; pyruvate kinase [EC:2.7.1.40]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"34","K12406","M00001","PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"35","K01803","M00002","TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]","Glycolysis, core module involving three-carbon compounds"
"36","K00134","M00002","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]","Glycolysis, core module involving three-carbon compounds"
