"","ko","ko_description"
"1","K00002","AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"2","K00003","hom; homoserine dehydrogenase [EC:1.1.1.3]"
"3","K00008","SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"4","K00012","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"5","K00013","hisD; histidinol dehydrogenase [EC:1.1.1.23]"
"6","K00014","aroE; shikimate dehydrogenase [EC:1.1.1.25]"
"7","K00018","hprA; glycerate dehydrogenase [EC:1.1.1.29]"
"8","K00019","BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]"
"9","K00021","HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]"
"10","K00022","HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]"
"11","K00023","phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]"
"12","K00024","mdh; malate dehydrogenase [EC:1.1.1.37]"
"13","K00025","MDH1; malate dehydrogenase [EC:1.1.1.37]"
"14","K00026","MDH2; malate dehydrogenase [EC:1.1.1.37]"
"15","K00028","E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]"
"16","K00029","maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"17","K00030","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"18","K00031","IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
"19","K00033","PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"20","K00036","G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"21","K00037","AKR1C4; 3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]"
"22","K00040","uxuB; fructuronate reductase [EC:1.1.1.57]"
"23","K00041","uxaB; tagaturonate reductase [EC:1.1.1.58]"
"24","K00051","E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]"
"25","K00052","leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"26","K00053","ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]"
"27","K00054","mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"28","K00055","E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]"
"29","K00058","serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"30","K00059","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"31","K00067","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"32","K00070","HSD3B; 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]"
"33","K00071","HSD11B2; corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]"
"34","K00072","SPR; sepiapterin reductase [EC:1.1.1.153]"
"35","K00074","paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"36","K00077","panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
"37","K00082","ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]"
"38","K00083","CAD; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]"
"39","K00087","ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"
"40","K00088","IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
"41","K00089","AKR1C2; 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]"
"42","K00097","pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"
"43","K00099","dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"44","K00103","GULO; L-gulonolactone oxidase [EC:1.1.3.8]"
"45","K00106","XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]"
"46","K00108","betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
"47","K00116","mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]"
"48","K00125","fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"
"49","K00128","ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"50","K00130","betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"51","K00131","gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"52","K00133","asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"53","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
"54","K00135","gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"
"55","K00137","prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"
"56","K00139","ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]"
"57","K00140","mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
"58","K00141","xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"
"59","K00143","LYS2; L-2-aminoadipate reductase [EC:1.2.1.95]"
"60","K00145","argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"61","K00147","proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"62","K00149","ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]"
"63","K00150","gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]"
"64","K00151","hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"65","K00152","nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65]"
"66","K00161","PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"
"67","K00162","PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"
"68","K00163","aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"69","K00164","OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"70","K00166","BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]"
"71","K00167","BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]"
"72","K00169","porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"73","K00170","porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"74","K00171","porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"75","K00172","porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"76","K00174","korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"77","K00175","korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"78","K00176","korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"79","K00177","korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
"80","K00189","vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]"
"81","K00192","cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]"
"82","K00193","cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]"
"83","K00194","cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"
"84","K00195","cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon"
"85","K00197","cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]"
"86","K00198","cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]"
"87","K00200","fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]"
"88","K00201","fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]"
"89","K00202","fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]"
"90","K00203","fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]"
"91","K00204","fwdH; 4Fe-4S ferredoxin"
"92","K00205","fwdF, fmdF; 4Fe-4S ferredoxin"
"93","K00207","DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]"
"94","K00208","fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]"
"95","K00209","fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
"96","K00211","TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13]"
"97","K00213","DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]"
"98","K00215","dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]"
"99","K00220","tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]"
"100","K00222","TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]"
"101","K00223","ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]"
"102","K00225","GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]"
"103","K00226","pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]"
"104","K00227","SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]"
"105","K00228","CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
"106","K00230","hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]"
"107","K00231","PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]"
"108","K00232","E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]"
"109","K00234","SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
"110","K00235","SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
