"","module","module_description"
"1","M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"
"2","M00002","Glycolysis, core module involving three-carbon compounds"
"3","M00003","Gluconeogenesis, oxaloacetate => fructose-6P"
"4","M00004","Pentose phosphate pathway (Pentose phosphate cycle)"
"5","M00005","PRPP biosynthesis, ribose 5P => PRPP"
"6","M00006","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"
"7","M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"
"8","M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"
"9","M00009","Citrate cycle (TCA cycle, Krebs cycle)"
"10","M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"
"11","M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate"
"12","M00012","Glyoxylate cycle"
"13","M00013","Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA"
"14","M00014","Glucuronate pathway (uronate pathway)"
"15","M00015","Proline biosynthesis, glutamate => proline"
"16","M00016","Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine"
"17","M00017","Methionine biosynthesis, aspartate => homoserine => methionine"
"18","M00018","Threonine biosynthesis, aspartate => homoserine => threonine"
"19","M00019","Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine"
"20","M00020","Serine biosynthesis, glycerate-3P => serine"
"21","M00021","Cysteine biosynthesis, serine => cysteine"
"22","M00022","Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate"
"23","M00023","Tryptophan biosynthesis, chorismate => tryptophan"
"24","M00024","Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine"
"25","M00025","Tyrosine biosynthesis, chorismate => HPP => tyrosine"
"26","M00026","Histidine biosynthesis, PRPP => histidine"
"27","M00027","GABA (gamma-Aminobutyrate) shunt"
"28","M00028","Ornithine biosynthesis, glutamate => ornithine"
"29","M00029","Urea cycle"
"30","M00030","Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine"
"31","M00031","Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine"
"32","M00032","Lysine degradation, lysine => saccharopine => acetoacetyl-CoA"
"33","M00033","Ectoine biosynthesis, aspartate => ectoine"
