"","Module_des","chi_square","p_value"
"1","M00001_Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",17.5096425467188,0.00362810855758422
"2","M00002_Glycolysis, core module involving three-carbon compounds",26,8.92359833449634e-05
"3","M00003_Gluconeogenesis, oxaloacetate => fructose-6P",21.4797435897436,0.000657267847096856
"4","M00004_Pentose phosphate pathway (Pentose phosphate cycle)",18.4086021505376,0.0024755901577977
"5","M00005_PRPP biosynthesis, ribose 5P => PRPP",NA,NA
"6","M00006_Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",19.807772304324,0.00135788781861904
"7","M00007_Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",19.2533333333333,0.00172405765318426
"8","M00008_Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",17.4055884611166,0.00379148330256993
"9","M00009_Citrate cycle (TCA cycle, Krebs cycle)",14.8067080474791,0.0112209750254944
"10","M00010_Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",11.6633613018053,0.0397032988188872
"11","M00011_Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",12.759246496669,0.0257424351542725
"12","M00012_Glyoxylate cycle",20.3800880088009,0.00106022125063815
"13","M00013_Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",18.8,0.00209414681462529
"14","M00014_Glucuronate pathway (uronate pathway)",13.7272727272727,0.0174378481250433
"15","M00015_Proline biosynthesis, glutamate => proline",25.7793939393939,9.84699977424038e-05
"16","M00016_Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",19.3952970021175,0.00162197215169057
"17","M00017_Methionine biosynthesis, aspartate => homoserine => methionine",19.5902569235903,0.00149139645259365
"18","M00018_Threonine biosynthesis, aspartate => homoserine => threonine",21.495966029724,0.000652631594833144
"19","M00019_Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",16.1228758169935,0.00650187509439071
"20","M00020_Serine biosynthesis, glycerate-3P => serine",26,8.9235983344963e-05
"21","M00021_Cysteine biosynthesis, serine => cysteine",21.8832900432901,0.000551031610949617
"22","M00022_Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",10.21926042075,0.0692556970520715
"23","M00023_Tryptophan biosynthesis, chorismate => tryptophan",6.84172549019611,0.232680019045327
"24","M00024_Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine",17.5115303983229,0.00362520899709616
"25","M00025_Tyrosine biosynthesis, chorismate => HPP => tyrosine",24.8588410104012,0.000148355309305103
"26","M00026_Histidine biosynthesis, PRPP => histidine",25.5467036139014,0.000109236088871773
"27","M00027_GABA (gamma-Aminobutyrate) shunt",15.4889190411578,0.00846532213598105
"28","M00028_Ornithine biosynthesis, glutamate => ornithine",23.7646810308407,0.000240923283708101
"29","M00029_Urea cycle",24.2286902286902,0.000196207227212488
"30","M00030_Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",14.4201388888889,0.0131497751976511
"31","M00032_Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",13.1428571428571,0.022076194515851
"32","M00033_Ectoine biosynthesis, aspartate => ectoine",13.58,0.018509344613273
"33","M00034_Methionine salvage pathway",13.2755899234694,0.0209286187702349
"34","M00035_Methionine degradation",11.6894444444444,0.0393000108835401
"35","M00036_Leucine degradation, leucine => acetoacetate + acetyl-CoA",18.0954364455622,0.00282914396760812
"36","M00038_Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",22.2454142947501,0.000470232706882196
"37","M00039_Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",23.2470588235294,0.00030275912443298
"38","M00040_Tyrosine biosynthesis, chorismate => arogenate => tyrosine",23.9407407407407,0.000222880201032798
"39","M00042_Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",3.30434782608696,0.653176098372583
"40","M00044_Tyrosine degradation, tyrosine => homogentisate",16.1141141141141,0.00652571352039446
