"","X","module","module_description","Acidovorax_AEP1_4","Curvibacter_AEP1_3","Duganella_C1_2","MG_21Nov119-A03-L1_S156_L003_bin.4","MG_21Nov119-A06-L1_S159_L003_bin.7","MG_21Nov119-B05-L1_S164_L003_bin.2","MG_21Nov119-B05-L1_S164_L003_bin.8","MG_21Nov119-D06-L1_S176_L003_bin.10","MG_21Nov119-D06-L1_S176_L003_bin.11","MG_21Nov119-D06-L1_S176_L003_bin.3","MG_21Nov119-D06-L1_S176_L003_bin.8","MG_21Nov119-E05-L1_S181_L003_bin.1","MG_21Nov119-E05-L1_S181_L003_bin.16","MG_21Nov119-E05-L1_S181_L003_bin.2","MG_21Nov119-E05-L1_S181_L003_bin.7","MG_21Nov119-E07-L1_S224_L004_bin.20","MG_21Nov119-E07-L1_S224_L004_bin.5","MG_21Nov119-H08-L1_S241_L004_bin.1","MG_220900001374-D09_22Sep1374-D09-L1_S133_L002_bin.2","MG_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5","MG_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.4","MT_21Nov119-A08-L1_S201_L004_bin.5","MT_21Nov119-A09-L1_S202_L004_bin.2","MT_21Nov119-B05-L1_S164_L003_bin.6","MT_21Nov119-B08-L1_S207_L004_bin.2","MT_21Nov119-C02-L1_S167_L003_bin.5","MT_21Nov119-D04-L1_S174_L003_bin.3","MT_21Nov119-D05-L1_S175_L003_bin.2","MT_21Nov119-D07-L1_S218_L004_bin.10","MT_21Nov119-D07-L1_S218_L004_bin.4","MT_21Nov119-D07-L1_S218_L004_bin.8","MT_21Nov119-E05-L1_S181_L003_bin.17","MT_21Nov119-E05-L1_S181_L003_bin.3","MT_21Nov119-E05-L1_S181_L003_bin.4","MT_21Nov119-E05-L1_S181_L003_bin.9","MT_21Nov119-E06-L1_S182_L003_bin.3","MT_21Nov119-E07-L1_S224_L004_bin.18","MT_21Nov119-E07-L1_S224_L004_bin.5","MT_21Nov119-E08-L1_S225_L004_bin.2","MT_21Nov119-F04-L1_S186_L003_bin.6","MT_21Nov119-F04-L1_S186_L003_bin.9","MT_21Nov119-G04-L1_S192_L003_bin.1","MT_21Nov119-G04-L1_S192_L003_bin.5","MT_21Nov119-H05-L1_S199_L003_bin.4","MT_21Nov119-H05-L1_S199_L003_bin.5","MT_21Nov119-H05-L1_S199_L003_bin.9","MT_220900001374-A06_22Sep1374-A06-L1_S120_L002_bin.3","MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3","MT_220900001374-B05_22Sep1374-B05-L1_S10_L001_bin.1","MT_220900001374-B06_22Sep1374-B06-L1_S124_L002_bin.5","MT_220900001374-B10_22Sep1374-B10-L1_S126_L002_bin.5","MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2","MT_220900001374-C06_22Sep1374-C06-L1_S127_L002_bin.1","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.10","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.6","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.7","MT_220900001374-D04_22Sep1374-D04-L1_S19_L001_bin.3","MT_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.10","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.14","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.2","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.7","Pelomonas_AEP2-2","Pseudomonas_C2_2","Undibacterium_C1_1"
"1",1,"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",3882.35294117647,7117.64705882353,5823.52941176471,6882.35294117647,4529.41176470588,5176.47058823529,5176.47058823529,5294.11764705882,117.647058823529,5294.11764705882,1441.17647058824,3823.52941176471,4588.23529411765,5294.11764705882,6705.88235294118,5000,3529.41176470588,4117.64705882353,8411.76470588235,6117.64705882353,4411.76470588235,2647.05882352941,2647.05882352941,3882.35294117647,3558.82352941176,3235.29411764706,1441.17647058824,3529.41176470588,1882.35294117647,3558.82352941176,3441.17647058824,2117.64705882353,117.647058823529,4941.17647058824,6352.94117647059,3176.47058823529,4235.29411764706,4411.76470588235,2911.76470588235,2117.64705882353,4529.41176470588,7264.70588235294,5823.52941176471,6794.11764705882,1235.29411764706,3558.82352941176,5176.47058823529,2647.05882352941,3529.41176470588,3823.52941176471,3558.82352941176,4852.94117647059,7058.82352941177,3235.29411764706,2117.64705882353,4205.88235294118,5647.05882352941,5500,5823.52941176471,3705.88235294118,3882.35294117647,2911.76470588235,5294.11764705882,4117.64705882353,4941.17647058824
"2",2,"M00002","Glycolysis, core module involving three-carbon compounds",4307.69230769231,7538.46153846154,6461.53846153846,4307.69230769231,4846.15384615385,3230.76923076923,5384.61538461538,5384.61538461538,76.9230769230769,4307.69230769231,1230.76923076923,3230.76923076923,4307.69230769231,5384.61538461538,3769.23076923077,4615.38461538462,4846.15384615385,5923.07692307692,3076.92307692308,5384.61538461538,5923.07692307692,3230.76923076923,3230.76923076923,4307.69230769231,3769.23076923077,2769.23076923077,1923.07692307692,3769.23076923077,1923.07692307692,2769.23076923077,4615.38461538462,2307.69230769231,76.9230769230769,3769.23076923077,4846.15384615385,3076.92307692308,4923.07692307692,4615.38461538462,3692.30769230769,1923.07692307692,4153.84615384615,4153.84615384615,4153.84615384615,4153.84615384615,2307.69230769231,3769.23076923077,4153.84615384615,2769.23076923077,3230.76923076923,4153.84615384615,3769.23076923077,5923.07692307692,5923.07692307692,3230.76923076923,2307.69230769231,4846.15384615385,3769.23076923077,5538.46153846154,6461.53846153846,3076.92307692308,4307.69230769231,3692.30769230769,3769.23076923077,5923.07692307692,3769.23076923077
"3",3,"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",5238.09523809524,9523.80952380952,4714.28571428571,6190.47619047619,6666.66666666667,3809.52380952381,4714.28571428571,5142.85714285714,47.6190476190476,4285.71428571429,1714.28571428571,3428.57142857143,5238.09523809524,5714.28571428571,3857.14285714286,4333.33333333333,3857.14285714286,5142.85714285714,1904.7619047619,6809.52380952381,7142.85714285714,3047.61904761905,3428.57142857143,4285.71428571429,4761.90476190476,2333.33333333333,1714.28571428571,3857.14285714286,2333.33333333333,3047.61904761905,6666.66666666667,1428.57142857143,47.6190476190476,3857.14285714286,4285.71428571429,3333.33333333333,3047.61904761905,4571.42857142857,3809.52380952381,2000,7333.33333333333,4190.47619047619,4571.42857142857,3333.33333333333,1428.57142857143,3857.14285714286,3809.52380952381,2333.33333333333,3428.57142857143,4190.47619047619,3428.57142857143,5142.85714285714,5571.42857142857,3428.57142857143,2666.66666666667,4714.28571428571,3857.14285714286,8380.95238095238,5142.85714285714,3666.66666666667,5238.09523809524,3809.52380952381,3857.14285714286,5142.85714285714,3857.14285714286
"4",4,"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",5133.33333333333,5600,3600,9066.66666666667,3200,6533.33333333333,4266.66666666667,3600,1666.66666666667,10200,4400,5133.33333333333,2400,4800,2400,4000,2400,3266.66666666667,10800,7466.66666666667,4000,3600,2666.66666666667,1666.66666666667,2800,1066.66666666667,4200,4000,2333.33333333333,2333.33333333333,4800,1066.66666666667,266.666666666667,3733.33333333333,3733.33333333333,4800,1066.66666666667,2400,2333.33333333333,1600,7800,6000,6400,7800,800,1666.66666666667,3000,1866.66666666667,8000,5333.33333333333,4800,4800,4800,2333.33333333333,3266.66666666667,3200,3266.66666666667,6600,3600,3600,5400,2666.66666666667,3266.66666666667,3266.66666666667,3733.33333333333
"5",5,"M00005","PRPP biosynthesis, ribose 5P => PRPP",3000,2000,1000,1000,3000,1000,1000,1000,1000,1000,0,1000,2000,1000,2000,3000,1000,1000,1000,1000,1000,2000,3000,1000,1000,2000,2000,1000,1000,2000,1000,2000,1000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,1000,1000,0,1000,1000,2000,1000,2000
"6",6,"M00006","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",1333.33333333333,333.333333333333,333.333333333333,1000,166.666666666667,666.666666666667,666.666666666667,0,0,2000,0,666.666666666667,166.666666666667,2000,166.666666666667,333.333333333333,166.666666666667,666.666666666667,6000,2000,666.666666666667,166.666666666667,0,0,166.666666666667,0,1500,333.333333333333,0,0,666.666666666667,0,0,666.666666666667,666.666666666667,166.666666666667,0,666.666666666667,0,0,1500,2000,2000,3333.33333333333,0,0,166.666666666667,0,1000,1500,1500,2000,0,0,666.666666666667,166.666666666667,666.666666666667,1500,333.333333333333,166.666666666667,1500,0,666.666666666667,666.666666666667,666.666666666667
"7",7,"M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",4000,6666.66666666667,4000,10833.3333333333,4000,7333.33333333333,4166.66666666667,6666.66666666667,2666.66666666667,9166.66666666667,8333.33333333333,5333.33333333333,2666.66666666667,2666.66666666667,2666.66666666667,3000,2666.66666666667,2666.66666666667,4666.66666666667,6000,3500,4666.66666666667,4666.66666666667,2666.66666666667,3333.33333333333,2666.66666666667,4000,4000,4000,4000,5000,1500,166.666666666667,2666.66666666667,3333.33333333333,6666.66666666667,1500,1500,4000,2500,7500,2666.66666666667,4666.66666666667,4666.66666666667,2000,2666.66666666667,3000,2500,8333.33333333333,4000,3333.33333333333,2666.66666666667,8333.33333333333,4000,2666.66666666667,4000,2666.66666666667,5833.33333333333,4000,4666.66666666667,4166.66666666667,4666.66666666667,2666.66666666667,2666.66666666667,2666.66666666667
"8",8,"M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",4800,3600,2400,2400,1800,1200,3200,200,0,4000,0,800,1800,7000,1800,400,1800,3200,5600,4000,3200,200,0,0,1800,0,800,2400,0,200,3200,0,0,3200,3200,200,0,3200,0,0,3200,800,4000,2400,0,0,200,0,4800,4000,800,4000,0,0,3200,800,3200,3200,2400,0,2400,0,3200,3200,3200
"9",9,"M00009","Citrate cycle (TCA cycle, Krebs cycle)",12522.7272727273,15454.5454545455,9272.72727272727,8363.63636363636,8727.27272727273,5795.45454545455,10795.4545454545,9000,5090.90909090909,5727.27272727273,6363.63636363636,6909.09090909091,9409.09090909091,9000,7727.27272727273,5181.81818181818,6909.09090909091,7340.90909090909,13500,14681.8181818182,9272.72727272727,6477.27272727273,5727.27272727273,4431.81818181818,8113.63636363636,5795.45454545455,5795.45454545455,6136.36363636364,5181.81818181818,6818.18181818182,4772.72727272727,4727.27272727273,90.9090909090909,6909.09090909091,9545.45454545454,8181.81818181818,4772.72727272727,7272.72727272727,5409.09090909091,8113.63636363636,5090.90909090909,18000,3750,5727.27272727273,22.7272727272727,7272.72727272727,8500,6568.18181818182,6909.09090909091,6954.54545454545,4431.81818181818,9818.18181818182,8500,6477.27272727273,6136.36363636364,5090.90909090909,7272.72727272727,6136.36363636364,9659.09090909091,3068.18181818182,10045.4545454545,5022.72727272727,8000,7340.90909090909,6909.09090909091
"10",10,"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",4375,5000,6250,2500,3500,1125,2500,1875,1125,1125,1500,2000,4375,3750,1500,2250,2500,3125,8125,9000,2500,1875,1125,1500,2500,2500,3000,2000,3500,2250,1125,500,0,2500,3000,6250,1500,2500,2500,2500,1125,5000,1125,3000,125,2000,2250,2000,1500,3750,1125,4375,1875,3750,1875,1125,2500,1500,6250,1000,3375,1500,3500,3125,2500
