"","taxon","metabolite","lfc","se","W","p","q","diff","passed_ss"
"1","Legionella","Tween80",-4.7420671076628,1.06101170326142,-4.46938247060448,9.13409174037254e-06,4.56704587018627e-05,TRUE,TRUE
"2","Legionella","Tween40",-4.79786676957298,1.15761437646262,-4.14461574348622,3.79528208477427e-05,0.000189764104238714,TRUE,TRUE
"3","Legionella","ß-Phenylethyl-amine",-4.1854626641348,1.13324528107378,-3.69334223935085,0.000237097701597007,0.00118548850798503,TRUE,TRUE
"4","Fluviicola","Adenosine",-3.01381861698793,0.823326567422682,-3.66053852291236,0.00026896959412851,0.00134484797064255,TRUE,TRUE
"5","Pseudomonas","L-Arginine",3.72733490137811,1.0395301342372,3.58559581739609,0.000359749256449801,0.001798746282249,TRUE,TRUE
"6","Legionella","Tween20",-3.70903620646987,1.1016421572618,-3.36682486415455,0.000799470765158074,0.00399735382579037,TRUE,TRUE
"7","Pseudomonas","L-Citrulline",4.4409210517032,1.33899497408626,3.31660770775762,0.000957468401848469,0.00478734200924235,TRUE,TRUE
"8","Pseudomonas","Tyramine",3.15895973255815,1.04731012370499,3.01626009436721,0.00265231244782958,0.0132615622391479,TRUE,TRUE
"9","Pseudomonas","Putrescine",3.11438916766594,1.03722618010747,3.00261334258189,0.00277231636925964,0.0138615818462982,TRUE,TRUE
"10","Fluviicola","Tyramine",-2.44385392571426,0.881054919877909,-2.77378160041705,0.0056751703840948,0.014187925960237,TRUE,TRUE
"11","Pseudomonas","L-Ornithine",3.17581964117005,1.06215768586476,2.98997002369233,0.00288814735318983,0.0144407367659492,TRUE,TRUE
"12","Pseudomonas","L-Serine",3.00962070745566,1.04841783282868,2.87063097671237,0.00422084561161896,0.0211042280580948,TRUE,TRUE
"13","Legionella","Phenylethyl-amine",-3.32647545346115,1.16668531900657,-2.85121908990305,0.00447583518943458,0.0223791759471729,TRUE,TRUE
"14","Fluviicola","2-DeoxyAdenosine",-3.21075413407199,1.13957795448212,-2.81749407440152,0.00496276769829469,0.0248138384914735,TRUE,TRUE
"15","Rheinheimera","D-Glucosamine",2.41928111857826,0.858725140241173,2.81729392235892,0.00496987314312031,0.0248493657156015,TRUE,TRUE
"16","Pseudomonas","D-GluconicAcid",3.73983019115589,1.35415613930864,2.76174222646529,0.00589883776223739,0.0294941888111869,TRUE,TRUE
"17","Legionella","ButyricAcid",-2.93067449470689,1.06172083663004,-2.76030609327498,0.00592851507365682,0.0296425753682841,TRUE,TRUE
"18","Pseudomonas","Hydroxy-Lproline",3.64948674956782,1.35352622219698,2.69628078844616,0.00717892472660444,0.0358946236330222,TRUE,TRUE
"19","Pseudomonas","L-Asparagine",2.66605182607692,1.03983540733098,2.56391714234858,0.0105585190120856,0.0527925950604282,FALSE,TRUE
"20","Pseudomonas","L-Glutamine",2.7157770097117,1.06501012335725,2.55000112219657,0.0109852897279997,0.0549264486399984,FALSE,TRUE
"21","Pseudomonas","Hydroxylamine",3.4202557505843,1.36798289139776,2.50021822063111,0.0126356550735676,0.0631782753678379,FALSE,TRUE
"22","Pseudomonas","ItaconicAcid",3.38892955677659,1.36734820344193,2.47846857753268,0.0134273502353299,0.0671367511766495,FALSE,TRUE
"23","Pseudomonas","L-Cysteic Acid",3.69379696673565,1.49058705563329,2.47808200988724,0.0134448071468679,0.0672240357343396,FALSE,FALSE
"24","Fluviicola","Ala-His",-2.78748350060819,1.13651668981191,-2.45265513968784,0.0143994226502868,0.0719971132514339,FALSE,TRUE
"25","Fluviicola","L-Arginine",-1.91365936633537,0.874757066354029,-2.18764665064264,0.0289953869605431,0.0724884674013577,FALSE,TRUE
"26","Pseudomonas","QuinicAcid",3.24444645939483,1.36157064036452,2.3828704609305,0.0174417970431004,0.087208985215502,FALSE,TRUE
