"taxa","taxa_group"
"g__Rhodoferax",1
"g__Curvibacter",1
"g__Rhodoferax.1",1
"g__Legionella",2
"g__Legionella.1",2
"g__Legionella.2",2
"g__Flectobacillus",3
"g__Flectobacillus.1",3
"g__Rheinheimera",3
"g__Undibacterium",1
"g__Undibacterium.1",1
"g__Undibacterium.2",1
"g__Sphaerotilus",1
"s__Acidovorax delafieldii",1
"s__Limnobacter litoralis",1
"f__env.OPS 17",4
"g__Paucibacter",1
"s__Pseudomonas anguilliseptica",5
"s__Pseudomonas synxantha",5
"g__Pseudomonas",5
"g__Xylophilus",1
"s__Pseudomonas asplenii",5
"g__Paucibacter.1",1
"g__Ralstonia",1
"f__NS11-12 marine group",4
"g__Fluviicola",4
"g__Flavobacterium",6
