file,absorbance,Condition,Microbe,Host,Experiment,Concentration
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4948,Standard,Control,none,Exp3,1.7741069
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4727,Standard,Control,none,Exp3,2.811898389
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4739,Standard,Control,none,Exp3,2.75554772
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4692,Standard,Control,none,Exp3,2.976254508
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4626,Standard,Control,none,Exp3,3.286183188
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5024,H2O,Curvibacter,none,Exp3,1.417219328
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.521,H2O,Curvibacter,none,Exp3,0.543783957
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5251,H2O,Curvibacter,none,Exp3,0.351252504
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5247,H2O,Curvibacter,none,Exp3,0.370036061
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5296,H2O,Curvibacter,none,Exp3,0.139937495
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5402,H2O,Pseudomonas,none,Exp3,-0.357826749
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5338,H2O,Pseudomonas,none,Exp3,-0.057289847
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.548,H2O,Pseudomonas,none,Exp3,-0.724106098
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5486,H2O,Pseudomonas,none,Exp3,-0.752281433
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5507,H2O,Pseudomonas,none,Exp3,-0.850895104
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5204,H2O,Curvi+Pseudo,none,Exp3,0.571959292
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5294,H2O,Curvi+Pseudo,none,Exp3,0.149329273
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5246,H2O,Curvi+Pseudo,none,Exp3,0.37473195
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5341,H2O,Curvi+Pseudo,none,Exp3,-0.071377514
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5234,H2O,Curvi+Pseudo,none,Exp3,0.431082619
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5267,H2O,Control,none,Exp3,0.276118279
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5139,H2O,Control,none,Exp3,0.877192083
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5335,H2O,Control,none,Exp3,-0.04320218
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5474,H2O,Control,none,Exp3,-0.695930764
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5414,H2O,Control,none,Exp3,-0.414177418
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4834,NH3,Curvibacter,none,Exp3,2.309438256
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4754,NH3,Curvibacter,none,Exp3,2.685109384
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4752,NH3,Curvibacter,none,Exp3,2.694501162
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4844,NH3,Curvibacter,none,Exp3,2.262479365
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4699,NH3,Curvibacter,none,Exp3,2.943383284
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4837,NH3,Pseudomonas,none,Exp3,2.295350589
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4824,NH3,Pseudomonas,none,Exp3,2.356397147
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4834,NH3,Pseudomonas,none,Exp3,2.309438256
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.464,NH3,Pseudomonas,none,Exp3,3.22044074
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4855,NH3,Pseudomonas,none,Exp3,2.210824585
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4915,NH3,Curvi+Pseudo,none,Exp3,1.92907124
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4906,NH3,Curvi+Pseudo,none,Exp3,1.971334242
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4838,NH3,Curvi+Pseudo,none,Exp3,2.2906547
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5034,NH3,Curvi+Pseudo,none,Exp3,1.370260438
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5016,NH3,Curvi+Pseudo,none,Exp3,1.454786441
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5038,NH3,Control,none,Exp3,1.351476881
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4917,NH3,Control,none,Exp3,1.919679461
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5099,NH3,Control,none,Exp3,1.065027646
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4963,NH3,Control,none,Exp3,1.703668563
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.4861,NH3,Control,none,Exp3,2.182649251
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5261,L-arginine,Curvibacter,none,Exp3,0.304293613
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5314,L-arginine,Curvibacter,none,Exp3,0.055411491
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5294,L-arginine,Curvibacter,none,Exp3,0.149329273
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.527,L-arginine,Curvibacter,none,Exp3,0.262030611
Ammonium measurement_20250430_172412 Auswertung Curvibacter,0.5119,L-arginine,Curvibacter,none,Exp3,0.971109865
