genome	format	type	num_seq	sum_len	min_len	max_len	avg_len
Acidovorax_AEP1_4	FASTA	DNA	573	5,384,912	245	9,397.8	94,498
Curvibacter_AEP1_3	FASTA	DNA	23	8,748,018	1,158	380,348.6	4,367,400
Duganella_C1_2	FASTA	DNA	343	6,481,885	200	18,897.6	175,009
MG_21Nov119-A03-L1_S156_L003_bin.4	FASTA	DNA	111	5,400,914	1,538	48,656.9	344,665
MG_21Nov119-A06-L1_S159_L003_bin.7	FASTA	DNA	167	5,893,884	1,595	35,292.7	196,65
MG_21Nov119-B05-L1_S164_L003_bin.2	FASTA	DNA	231	7,251,262	2,108	31,390.7	161,998
MG_21Nov119-B05-L1_S164_L003_bin.8	FASTA	DNA	69	5,189,031	1,777	75,203.3	322,058
MG_21Nov119-D06-L1_S176_L003_bin.10	FASTA	DNA	402	5,161,157	1,577	12,838.7	79,202
MG_21Nov119-D06-L1_S176_L003_bin.11	FASTA	DNA	32	1,414,938	2,172	44,216.8	204,983
MG_21Nov119-D06-L1_S176_L003_bin.3	FASTA	DNA	526	5,241,672	1,517	9,965.2	57,498
MG_21Nov119-D06-L1_S176_L003_bin.8	FASTA	DNA	638	2,096,799	1,001	3,286.5	16,813
MG_21Nov119-E05-L1_S181_L003_bin.1	FASTA	DNA	123	5,666,346	3,565	46,067.9	349,04
MG_21Nov119-E05-L1_S181_L003_bin.16	FASTA	DNA	48	4,861,585	8,137	101,283	308,332
MG_21Nov119-E05-L1_S181_L003_bin.2	FASTA	DNA	95	6,645,123	3,736	69,948.7	412,156
MG_21Nov119-E05-L1_S181_L003_bin.7	FASTA	DNA	46	5,368,408	4,156	116,704.5	408,621
MG_21Nov119-E07-L1_S224_L004_bin.20	FASTA	DNA	1,399	2,786,138	1	1,991.5	9,175
MG_21Nov119-E07-L1_S224_L004_bin.5	FASTA	DNA	442	2,789,267	1,006	6,310.6	52,897
MG_21Nov119-H08-L1_S241_L004_bin.1	FASTA	DNA	15	4,328,146	13,112	288,543.1	870,567
MG_220900001374-D09_22Sep1374-D09-L1_S133_L002_bin.2	FASTA	DNA	1,093	2,793,949	1,002	2,556.2	26,571
MG_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5	FASTA	DNA	136	9,209,666	2,294	67,718.1	340,405
MG_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.4	FASTA	DNA	72	5,560,543	1,665	77,229.8	377,717
MT_21Nov119-A08-L1_S201_L004_bin.5	FASTA	DNA	22	4,124,211	5,469	187,464.1	940,141
MT_21Nov119-A09-L1_S202_L004_bin.2	FASTA	DNA	203	5,661,268	1,246	27,888	207,098
MT_21Nov119-B05-L1_S164_L003_bin.6	FASTA	DNA	18	3,978,911	2,554	221,050.6	1,277,106
MT_21Nov119-B08-L1_S207_L004_bin.2	FASTA	DNA	33	4,420,022	2,224	133,940.1	533,904
MT_21Nov119-C02-L1_S167_L003_bin.5	FASTA	DNA	222	3,715,414	1,509	16,736.1	116,866
