"","X","module","module_description","Acidovorax_AEP1_4","Curvibacter_AEP1_3","Duganella_C1_2","MG_21Nov119-A03-L1_S156_L003_bin.4","MG_21Nov119-A06-L1_S159_L003_bin.7","MG_21Nov119-B05-L1_S164_L003_bin.2","MG_21Nov119-B05-L1_S164_L003_bin.8","MG_21Nov119-D06-L1_S176_L003_bin.10","MG_21Nov119-D06-L1_S176_L003_bin.11","MG_21Nov119-D06-L1_S176_L003_bin.3","MG_21Nov119-D06-L1_S176_L003_bin.8","MG_21Nov119-E05-L1_S181_L003_bin.1","MG_21Nov119-E05-L1_S181_L003_bin.16","MG_21Nov119-E05-L1_S181_L003_bin.2","MG_21Nov119-E05-L1_S181_L003_bin.7","MG_21Nov119-E07-L1_S224_L004_bin.20","MG_21Nov119-E07-L1_S224_L004_bin.5","MG_21Nov119-H08-L1_S241_L004_bin.1","MG_220900001374-D09_22Sep1374-D09-L1_S133_L002_bin.2","MG_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5","MG_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.4","MT_21Nov119-A08-L1_S201_L004_bin.5","MT_21Nov119-A09-L1_S202_L004_bin.2","MT_21Nov119-B05-L1_S164_L003_bin.6","MT_21Nov119-B08-L1_S207_L004_bin.2","MT_21Nov119-C02-L1_S167_L003_bin.5","MT_21Nov119-D04-L1_S174_L003_bin.3","MT_21Nov119-D05-L1_S175_L003_bin.2","MT_21Nov119-D07-L1_S218_L004_bin.10","MT_21Nov119-D07-L1_S218_L004_bin.4","MT_21Nov119-D07-L1_S218_L004_bin.8","MT_21Nov119-E05-L1_S181_L003_bin.17","MT_21Nov119-E05-L1_S181_L003_bin.3","MT_21Nov119-E05-L1_S181_L003_bin.4","MT_21Nov119-E05-L1_S181_L003_bin.9","MT_21Nov119-E06-L1_S182_L003_bin.3","MT_21Nov119-E07-L1_S224_L004_bin.18","MT_21Nov119-E07-L1_S224_L004_bin.5","MT_21Nov119-E08-L1_S225_L004_bin.2","MT_21Nov119-F04-L1_S186_L003_bin.6","MT_21Nov119-F04-L1_S186_L003_bin.9","MT_21Nov119-G04-L1_S192_L003_bin.1","MT_21Nov119-G04-L1_S192_L003_bin.5","MT_21Nov119-H05-L1_S199_L003_bin.4","MT_21Nov119-H05-L1_S199_L003_bin.5","MT_21Nov119-H05-L1_S199_L003_bin.9","MT_220900001374-A06_22Sep1374-A06-L1_S120_L002_bin.3","MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3","MT_220900001374-B05_22Sep1374-B05-L1_S10_L001_bin.1","MT_220900001374-B06_22Sep1374-B06-L1_S124_L002_bin.5","MT_220900001374-B10_22Sep1374-B10-L1_S126_L002_bin.5","MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2","MT_220900001374-C06_22Sep1374-C06-L1_S127_L002_bin.1","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.10","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.6","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.7","MT_220900001374-D04_22Sep1374-D04-L1_S19_L001_bin.3","MT_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.10","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.14","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.2","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.7","Pelomonas_AEP2-2","Pseudomonas_C2_2","Undibacterium_C1_1"
"1",1,"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",1.22898162113848,1.35008479871463,1.80183459522423,2.18904355635384,1.47826754722777,2.22835582791016,1.79054672716544,2.04406086759028,0.136008160489629,1.55938664125444,1.02138658439988,2.06120183922626,1.64866521527763,1.42238518190726,2.33410454331402,3.17863954227591,1.62048290390536,1.54450377300207,4.23766483923544,1.27930720594386,1.37997019264384,1.82807929801755,1.42544901644018,2.21595487510073,1.33289270764486,1.94779898714453,1.12153810940719,1.85856333054549,1.66875260742595,2.38207732892354,1.60353050819582,2.86944045911047,0.241080038572806,2.12798297613619,2.33735878457343,1.91468992660355,4.49606594230049,1.88940672628795,2.29815683179349,1.62520879418536,2.01039137359338,2.34572356549982,3.43571056741281,3.40557275541796,2.87277701778386,1.5595195133268,2.44750382422473,2.19308933183878,1.17334167709637,1.66168162180126,3.46526146972908,1.40177388112958,2.67076183481338,1.98484301696139,1.48606811145511,2.82463556275432,2.30304193455523,2.33347475604582,1.8341824918944,1.9712140175219,1.26337550965717,2.18929677134012,1.82304326689353,1.53988296889436,2.06226063046254
"2",2,"M00002","Glycolysis, core module involving three-carbon compounds",1.36362529524923,1.42990545114976,1.999238385377,1.37013114112351,1.58164290018076,1.39077452895791,1.86254423542559,2.07900207900208,0.0889284126278346,1.26883425852498,0.872267349942758,1.74165457184325,1.54785925536914,1.44669945852106,1.31194944978447,2.93412880825468,2.22504767959313,2.22170927347221,1.55008719240457,1.12601743718431,1.85269844325209,2.2311942201445,1.73977879955263,2.45872848612575,1.41169691731489,1.66720696522021,1.49655791679138,1.98485032608255,1.70485542825968,1.85356811862836,2.15069180586422,3.12695434646654,0.157629255989912,1.62326906512953,1.78298522669384,1.8546853989892,5.22619630899886,1.97661011365508,2.91421285896424,1.47588405454867,1.84369558537335,1.34124835448697,2.45064669843431,2.08212839791787,5.36672629695886,1.65172251061822,1.96399345335516,2.29430883946211,1.0740589198036,1.80523518202788,3.67013706838439,1.71088299337866,2.24104310369918,1.98206701274186,1.61943319838057,3.25463656558351,1.53720667586899,2.34979276133285,2.0351302241066,1.6366612111293,1.40178727878045,2.77617119722383,1.29794447976266,2.21506242448651,1.57313471169899
"3",3,"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",1.65814980629795,1.8064889081581,1.45862800565771,1.96898097661456,2.17580504786771,1.63991554434947,1.63067648366853,1.98565912851627,0.0550509221029452,1.26236061434883,1.21494380884884,1.84828648440508,1.88217579521927,1.53527289475704,1.34254885386107,2.75482093663912,1.77095631641086,1.92905369199443,0.959577785774259,1.42399075899703,2.23423745475669,2.10470928702973,1.84629586891299,2.44618395303327,1.78348492955235,1.40477623921333,1.33407448582546,2.031144211239,2.06855791962175,2.03990565436349,3.10655483069276,1.93573364305072,0.0975800156128025,1.66112956810631,1.57678965625985,2.00924251557163,3.2352643817612,1.9577852554298,3.00672755289961,1.53491941673062,3.25491936677023,1.35307594138721,2.69700800674252,1.67084377610693,3.32225913621262,1.69024665080756,1.80119329055499,1.93316763325048,1.13981762917933,1.82115436352724,3.33843371818055,1.48551621688537,2.1079941624777,2.1034180543383,1.87134502923977,3.16607502638396,1.57305989279888,3.55577105683173,1.61979752530934,1.95035460992908,1.70455425906126,2.86430361618332,1.32821723730815,1.92328240196602,1.60982590031004
"4",4,"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",1.624986810172,1.06221547799697,1.11386138613861,2.88379983036472,1.0443864229765,2.81245515855933,1.47584457511818,1.38996138996139,1.92678227360308,3.00441826215022,3.11835577604536,2.76729559748428,0.862378727991376,1.28962923159592,0.835363731291333,2.54291163382072,1.10192837465565,1.22530632658165,5.44080604534005,1.56141084622891,1.25117297466375,2.48618784530387,1.43600789804344,0.951293759512937,1.04868913857678,0.642183423640377,3.26848249027237,2.10637177461822,2.06855791962175,1.56180276662204,2.23671947809879,1.4453477868112,0.546448087431694,1.60780935974734,1.37355898945303,2.89330922242315,1.13234253361642,1.02783725910064,1.84162062615101,1.2279355333845,3.46205059920107,1.93735873425896,3.77581120943953,3.90977443609023,1.86046511627907,0.730353491089687,1.41843971631206,1.54653410660039,2.65957446808511,2.3178328263074,4.67380720545277,1.38648180242634,1.8161180476731,1.43149284253579,2.29239766081871,2.14909335124244,1.33224578575313,2.80016970725499,1.13385826771654,1.91489361702128,1.75724048161406,2.00501253132832,1.12488521579431,1.2216404886562,1.55815247634947
"5",5,"M00005","PRPP biosynthesis, ribose 5P => PRPP",0.949667616334283,0.379362670713202,0.309405940594059,0.318066157760814,0.97911227154047,0.430477830391735,0.345901072293324,0.386100386100386,1.15606936416185,0.294550810014728,0,0.539083557951482,0.718648939992814,0.268672756582483,0.696136442742778,1.90718372536554,0.459136822773186,0.375093773443361,0.503778337531486,0.209117524048515,0.312793243665937,1.38121546961326,1.61550888529887,0.570776255707763,0.374531835205993,1.20409391932571,1.55642023346304,0.526592943654555,0.886524822695035,1.33868808567604,0.465983224603914,2.710027100271,2.04918032786885,0.861326442721792,0.367917586460633,0.602772754671489,1.06157112526539,0.428265524625268,0.789265982636148,0.767459708365311,0.443852640923213,0.322893122376493,0.589970501474926,0.50125313283208,2.32558139534884,0.438212094653812,0,0.828500414250207,0.332446808510638,0.434593654932638,0.973709834469328,0.288850375505488,0.378357926598562,0.613496932515337,0.701754385964912,1.34318334452653,0.815660685154976,0.424268137462877,0.31496062992126,0,0.325414904002603,0.75187969924812,0.68870523415978,0.37397157816006,0.834724540901502
"6",6,"M00006","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",0.42207449614857,0.0632271117855336,0.103135313531353,0.318066157760814,0.0543951261966928,0.286985220261157,0.230600714862216,0,0,0.589101620029455,0,0.359389038634322,0.0598874116660678,0.537345513164965,0.0580113702285648,0.211909302818394,0.0765228037955311,0.250062515628907,3.02267002518892,0.418235048097031,0.208528829110625,0.115101289134438,0,0,0.0624219725343321,0,1.16731517509728,0.175530981218185,0,0,0.310655483069276,0,0,0.287108814240597,0.245278390973755,0.100462125778581,0,0.285510349750178,0,0,0.66577896138482,0.645786244752987,1.17994100294985,1.67084377610693,0,0,0.0788022064617809,0,0.332446808510638,0.651890482398957,1.46056475170399,0.577700751010976,0,0,0.467836257309941,0.111931945377211,0.271886895051658,0.636402206194315,0.10498687664042,0.0886524822695035,0.488122356003905,0,0.229568411386593,0.24931438544004,0.278241513633834
"7",7,"M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",1.26622348844571,1.26454223571067,1.23762376237624,3.44571670907549,1.30548302872063,3.15683742287272,1.44125446788885,2.57400257400257,3.08285163776493,2.70004909180167,5.90597684857075,2.87511230907457,0.958198586657085,0.716460684219953,0.928181923657037,1.90718372536554,1.2243648607285,1.00025006251563,2.35096557514693,1.25470514429109,1.09477635283078,3.22283609576427,2.51301382157602,1.5220700152207,1.24843945068664,1.60545855910094,3.11284046692607,2.10637177461822,3.54609929078014,2.67737617135207,2.32991612301957,2.03252032520325,0.341530054644809,1.14843525696239,1.22639195486878,4.01848503114326,1.59235668789809,0.642398286937901,3.15706393054459,1.91864927091328,3.3288948069241,0.861048326337316,2.75319567354966,2.33918128654971,4.65116279069767,1.1685655857435,1.41843971631206,2.07125103562552,2.77039007092199,1.73837461973055,3.24569944823109,0.770267668014635,3.15298272165469,2.45398773006135,1.87134502923977,2.68636668905306,1.08754758020663,2.47489746853345,1.25984251968504,2.4822695035461,1.35589543334418,3.50877192982456,0.918273645546373,0.997257541760159,1.11296605453534
"8",8,"M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",1.51946818613485,0.682852807283763,0.742574257425743,0.763358778625954,0.587467362924282,0.516573396470082,1.10688343133864,0.0772200772200772,0,1.17820324005891,0,0.431266846361186,0.646784045993532,1.88070929607738,0.6265227984685,0.254291163382072,0.826446280991735,1.20030007501875,2.82115869017632,0.836470096194061,1.000938379731,0.138121546961326,0,0,0.674157303370786,0,0.622568093385214,1.26382306477093,0,0.133868808567604,1.49114631873253,0,0,1.37812230835487,1.17733627667402,0.120554550934298,0,1.37044967880086,0,0,1.42032845095428,0.258314497901195,2.3598820058997,1.20300751879699,0,0,0.0945626477541371,0,1.59574468085106,1.73837461973055,0.778967867575463,1.15540150202195,0,0,2.24561403508772,0.537273337810611,1.30505709624796,1.3576580398812,0.755905511811024,0,0.780995769606248,0,1.10192837465565,1.19670905011219,1.3355592654424
"9",9,"M00009","Citrate cycle (TCA cycle, Krebs cycle)",3.96414285303174,2.93143881914747,2.86903690369037,2.66018968309045,2.84832660811773,2.49481469886119,3.73415930316657,3.47490347490348,5.88544403573305,1.68697282099344,4.51001868436312,3.72457730948297,3.3809166040571,2.41805480924234,2.68961807423346,3.2942264347223,3.17221804825111,2.75352929141376,6.80100755667506,3.07022546671229,2.90044644126596,4.47325464590658,3.08415332647966,2.52957658779577,3.0388151174668,3.48913578895517,4.51008135833039,3.2313657906075,4.59381044487427,4.56370938298649,2.2240108447005,6.40551860064055,0.18628912071535,2.97549134758437,3.51194059803331,4.93177708367582,5.06658946149392,3.11465836091104,4.26921145153189,6.22688899741854,2.2596134447,5.81207620277688,2.21238938053097,2.87081339712919,0.0528541226215645,3.18699705202773,4.01891252955083,5.44174135723431,2.29690522243714,3.02240132748607,4.31530494821634,2.83598550496297,3.21604237608778,3.97378694924707,4.30622009569378,3.41901214970389,2.966038855109,2.60346357079492,3.04223335719399,1.63201160541586,3.26894062657161,3.77648667122351,2.75482093663912,2.7452913578568,2.88359386856883
"10",10,"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",1.3849319404875,0.948406676783004,1.93378712871287,0.795165394402036,1.14229765013055,0.484287559190702,0.86475268073331,0.723938223938224,1.30057803468208,0.331369661266568,1.06307583274274,1.07816711590296,1.57204455623428,1.00752283718431,0.522102332057083,1.43038779402416,1.14784205693297,1.1721680420105,4.09319899244332,1.88205771643664,0.781983109164842,1.29488950276243,0.605815831987076,0.856164383561644,0.936329588014981,1.50511739915713,2.33463035019455,1.05318588730911,3.10283687943262,1.50602409638554,0.524231127679403,0.677506775067751,0,1.07665805340224,1.1037527593819,3.76732971669681,1.59235668789809,1.07066381156317,1.97316495659037,1.91864927091328,0.499334221038615,1.61446561188247,0.663716814159292,1.50375939849624,0.290697674418605,0.876424189307625,1.06382978723404,1.65700082850041,0.498670212765957,1.62972620599739,1.09542356377799,1.26372039283651,0.709421112372304,2.30061349693252,1.31578947368421,0.755540631296172,1.01957585644372,0.636402206194315,1.96850393700787,0.531914893617021,1.09827530100879,1.12781954887218,1.20523415977961,1.16866118175019,1.04340567612688
