MarkerGene,GenomicSeq,Number
MarkerGene__biolog_16s_5,GenomicSeq__MG_21Nov119-E07-L1_S224_L004_bin.5,165
MarkerGene__biolog_16s_1,GenomicSeq__MG_21Nov119-E07-L1_S224_L004_bin.5,173
MarkerGene__biolog_16s_30,GenomicSeq__MG_21Nov119-E07-L1_S224_L004_bin.5,153
MarkerGene__biolog_16s_7,GenomicSeq__MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3,11801
MarkerGene__biolog_16s_6,GenomicSeq__MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3,11624
MarkerGene__biolog_16s_4,GenomicSeq__MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3,11455
MarkerGene__biolog_16s_35,GenomicSeq__MG_21Nov119-E05-L1_S181_L003_bin.1,58
MarkerGene__biolog_16s_9,GenomicSeq__MT_220900001374-B06_22Sep1374-B06-L1_S124_L002_bin.5,142
MarkerGene__biolog_16s_24,GenomicSeq__MG_21Nov119-E05-L1_S181_L003_bin.1,74
MarkerGene__biolog_16s_13,GenomicSeq__Undibacterium_C1_1,38
MarkerGene__biolog_16s_11,GenomicSeq__Undibacterium_C1_1,27
MarkerGene__biolog_16s_21,GenomicSeq__Undibacterium_C1_1,27
MarkerGene__biolog_16s_18,GenomicSeq__MG_21Nov119-A03-L1_S156_L003_bin.4,25
MarkerGene__biolog_16s_12,GenomicSeq__Acidovorax_AEP1_4,3
MarkerGene__biolog_16s_8,GenomicSeq__Acidovorax_AEP1_4,3
MarkerGene__biolog_16s_16,GenomicSeq__MT_21Nov119-A09-L1_S202_L004_bin.2,13
MarkerGene__biolog_16s_32,GenomicSeq__MT_21Nov119-E05-L1_S181_L003_bin.9,4
MarkerGene__biolog_16s_32,GenomicSeq__Pelomonas_AEP2-2,10
MarkerGene__biolog_16s_32,GenomicSeq__MG_21Nov119-B05-L1_S164_L003_bin.8,16
MarkerGene__biolog_16s_26,GenomicSeq__MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2,8
MarkerGene__biolog_16s_15,GenomicSeq__MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2,8
MarkerGene__biolog_16s_2,GenomicSeq__MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2,8
MarkerGene__biolog_16s_29,GenomicSeq__MT_21Nov119-H05-L1_S199_L003_bin.9,14
MarkerGene__biolog_16s_13,GenomicSeq__MT_21Nov119-E05-L1_S181_L003_bin.4,3
MarkerGene__biolog_16s_11,GenomicSeq__MT_21Nov119-E05-L1_S181_L003_bin.4,3
MarkerGene__biolog_16s_21,GenomicSeq__MT_21Nov119-E05-L1_S181_L003_bin.4,3
MarkerGene__biolog_16s_17,GenomicSeq__MG_21Nov119-E05-L1_S181_L003_bin.2,5
MarkerGene__biolog_16s_32,GenomicSeq__MT_21Nov119-H05-L1_S199_L003_bin.9,6
MarkerGene__biolog_16s_2,GenomicSeq__MG_21Nov119-E05-L1_S181_L003_bin.2,3
