"","X","module","module_description","Acidovorax_AEP1_4","Curvibacter_AEP1_3","Duganella_C1_2","MG_21Nov119-A03-L1_S156_L003_bin.4","MG_21Nov119-A06-L1_S159_L003_bin.7","MG_21Nov119-B05-L1_S164_L003_bin.2","MG_21Nov119-B05-L1_S164_L003_bin.8","MG_21Nov119-D06-L1_S176_L003_bin.10","MG_21Nov119-D06-L1_S176_L003_bin.11","MG_21Nov119-D06-L1_S176_L003_bin.3","MG_21Nov119-D06-L1_S176_L003_bin.8","MG_21Nov119-E05-L1_S181_L003_bin.1","MG_21Nov119-E05-L1_S181_L003_bin.16","MG_21Nov119-E05-L1_S181_L003_bin.2","MG_21Nov119-E05-L1_S181_L003_bin.7","MG_21Nov119-E07-L1_S224_L004_bin.20","MG_21Nov119-E07-L1_S224_L004_bin.5","MG_21Nov119-H08-L1_S241_L004_bin.1","MG_220900001374-D09_22Sep1374-D09-L1_S133_L002_bin.2","MG_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5","MG_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.4","MT_21Nov119-A08-L1_S201_L004_bin.5","MT_21Nov119-A09-L1_S202_L004_bin.2","MT_21Nov119-B05-L1_S164_L003_bin.6","MT_21Nov119-B08-L1_S207_L004_bin.2","MT_21Nov119-C02-L1_S167_L003_bin.5","MT_21Nov119-D04-L1_S174_L003_bin.3","MT_21Nov119-D05-L1_S175_L003_bin.2","MT_21Nov119-D07-L1_S218_L004_bin.10","MT_21Nov119-D07-L1_S218_L004_bin.4","MT_21Nov119-D07-L1_S218_L004_bin.8","MT_21Nov119-E05-L1_S181_L003_bin.17","MT_21Nov119-E05-L1_S181_L003_bin.3","MT_21Nov119-E05-L1_S181_L003_bin.4","MT_21Nov119-E05-L1_S181_L003_bin.9","MT_21Nov119-E06-L1_S182_L003_bin.3","MT_21Nov119-E07-L1_S224_L004_bin.18","MT_21Nov119-E07-L1_S224_L004_bin.5","MT_21Nov119-E08-L1_S225_L004_bin.2","MT_21Nov119-F04-L1_S186_L003_bin.6","MT_21Nov119-F04-L1_S186_L003_bin.9","MT_21Nov119-G04-L1_S192_L003_bin.1","MT_21Nov119-G04-L1_S192_L003_bin.5","MT_21Nov119-H05-L1_S199_L003_bin.4","MT_21Nov119-H05-L1_S199_L003_bin.5","MT_21Nov119-H05-L1_S199_L003_bin.9","MT_220900001374-A06_22Sep1374-A06-L1_S120_L002_bin.3","MT_220900001374-A10_22Sep1374-A10-L1_S123_L002_bin.3","MT_220900001374-B05_22Sep1374-B05-L1_S10_L001_bin.1","MT_220900001374-B06_22Sep1374-B06-L1_S124_L002_bin.5","MT_220900001374-B10_22Sep1374-B10-L1_S126_L002_bin.5","MT_220900001374-C01_22Sep1374-C01-L1_S11_L001_bin.2","MT_220900001374-C06_22Sep1374-C06-L1_S127_L002_bin.1","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.10","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.6","MT_220900001374-D02_22Sep1374-D02-L1_S17_L001_bin.7","MT_220900001374-D04_22Sep1374-D04-L1_S19_L001_bin.3","MT_220900001374-H06_22Sep1374-H06-L1_S146_L002_bin.5","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.10","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.14","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.2","MT_220900001374-H07_22Sep1374-H07-L1_S147_L002_bin.7","Pelomonas_AEP2-2","Pseudomonas_C2_2","Undibacterium_C1_1"
"1",1,"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",0.323529411764706,0.323529411764706,0.323529411764706,0.382352941176471,0.323529411764706,0.323529411764706,0.323529411764706,0.352941176470588,0.0588235294117647,0.352941176470588,0.205882352941176,0.294117647058824,0.352941176470588,0.352941176470588,0.352941176470588,0.294117647058824,0.294117647058824,0.294117647058824,0.382352941176471,0.382352941176471,0.294117647058824,0.264705882352941,0.264705882352941,0.323529411764706,0.323529411764706,0.294117647058824,0.205882352941176,0.294117647058824,0.235294117647059,0.323529411764706,0.264705882352941,0.235294117647059,0.0588235294117647,0.352941176470588,0.352941176470588,0.264705882352941,0.352941176470588,0.294117647058824,0.264705882352941,0.235294117647059,0.323529411764706,0.382352941176471,0.323529411764706,0.323529411764706,0.176470588235294,0.323529411764706,0.323529411764706,0.264705882352941,0.294117647058824,0.294117647058824,0.323529411764706,0.323529411764706,0.352941176470588,0.294117647058824,0.235294117647059,0.323529411764706,0.352941176470588,0.323529411764706,0.323529411764706,0.264705882352941,0.323529411764706,0.264705882352941,0.352941176470588,0.294117647058824,0.352941176470588
"2",2,"M00002","Glycolysis, core module involving three-carbon compounds",0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.461538461538462,0.538461538461538,0.538461538461538,0.0769230769230769,0.538461538461538,0.307692307692308,0.461538461538462,0.538461538461538,0.538461538461538,0.538461538461538,0.384615384615385,0.538461538461538,0.538461538461538,0.384615384615385,0.538461538461538,0.538461538461538,0.461538461538462,0.461538461538462,0.538461538461538,0.538461538461538,0.461538461538462,0.384615384615385,0.538461538461538,0.384615384615385,0.461538461538462,0.461538461538462,0.384615384615385,0.0769230769230769,0.538461538461538,0.538461538461538,0.384615384615385,0.615384615384615,0.461538461538462,0.461538461538462,0.384615384615385,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.384615384615385,0.538461538461538,0.461538461538462,0.461538461538462,0.461538461538462,0.461538461538462,0.538461538461538,0.538461538461538,0.538461538461538,0.461538461538462,0.384615384615385,0.538461538461538,0.538461538461538,0.461538461538462,0.538461538461538,0.384615384615385,0.538461538461538,0.461538461538462,0.538461538461538,0.538461538461538,0.538461538461538
"3",3,"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",0.476190476190476,0.476190476190476,0.428571428571429,0.476190476190476,0.476190476190476,0.380952380952381,0.428571428571429,0.428571428571429,0.0476190476190476,0.428571428571429,0.285714285714286,0.380952380952381,0.476190476190476,0.476190476190476,0.428571428571429,0.333333333333333,0.428571428571429,0.428571428571429,0.238095238095238,0.523809523809524,0.476190476190476,0.380952380952381,0.380952380952381,0.428571428571429,0.476190476190476,0.333333333333333,0.285714285714286,0.428571428571429,0.333333333333333,0.380952380952381,0.476190476190476,0.238095238095238,0.0476190476190476,0.428571428571429,0.428571428571429,0.333333333333333,0.380952380952381,0.380952380952381,0.380952380952381,0.285714285714286,0.523809523809524,0.380952380952381,0.380952380952381,0.333333333333333,0.238095238095238,0.428571428571429,0.380952380952381,0.333333333333333,0.380952380952381,0.380952380952381,0.380952380952381,0.428571428571429,0.428571428571429,0.380952380952381,0.333333333333333,0.428571428571429,0.428571428571429,0.523809523809524,0.428571428571429,0.333333333333333,0.476190476190476,0.380952380952381,0.428571428571429,0.428571428571429,0.428571428571429
"4",4,"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",0.466666666666667,0.4,0.4,0.533333333333333,0.4,0.466666666666667,0.533333333333333,0.4,0.333333333333333,0.6,0.4,0.466666666666667,0.4,0.533333333333333,0.4,0.4,0.4,0.466666666666667,0.6,0.533333333333333,0.4,0.4,0.333333333333333,0.333333333333333,0.4,0.266666666666667,0.466666666666667,0.4,0.333333333333333,0.333333333333333,0.533333333333333,0.266666666666667,0.133333333333333,0.466666666666667,0.466666666666667,0.4,0.266666666666667,0.4,0.333333333333333,0.266666666666667,0.6,0.6,0.533333333333333,0.6,0.2,0.333333333333333,0.333333333333333,0.266666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.4,0.333333333333333,0.466666666666667,0.4,0.466666666666667,0.6,0.4,0.4,0.6,0.333333333333333,0.466666666666667,0.466666666666667,0.466666666666667
"5",5,"M00005","PRPP biosynthesis, ribose 5P => PRPP",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"6",6,"M00006","Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0.5,0,0.333333333333333,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.5,0.333333333333333,0.166666666666667,0,0,0.166666666666667,0,0.5,0.166666666666667,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.166666666666667,0,0.333333333333333,0,0,0.5,0.5,0.5,0.666666666666667,0,0,0.166666666666667,0,0.333333333333333,0.5,0.5,0.5,0,0,0.333333333333333,0.166666666666667,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.5,0,0.333333333333333,0.333333333333333,0.333333333333333
"7",7,"M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.5,0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,0.666666666666667,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"8",8,"M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",0.8,0.6,0.6,0.6,0.6,0.4,0.8,0.2,0,0.8,0,0.4,0.6,1,0.6,0.2,0.6,0.8,0.8,0.8,0.8,0.2,0,0,0.6,0,0.4,0.6,0,0.2,0.8,0,0,0.8,0.8,0.2,0,0.8,0,0,0.8,0.4,0.8,0.6,0,0,0.2,0,0.8,0.8,0.4,0.8,0,0,0.8,0.4,0.8,0.8,0.6,0,0.6,0,0.8,0.8,0.8
"9",9,"M00009","Citrate cycle (TCA cycle, Krebs cycle)",0.431818181818182,0.386363636363636,0.386363636363636,0.363636363636364,0.363636363636364,0.340909090909091,0.431818181818182,0.409090909090909,0.318181818181818,0.318181818181818,0.318181818181818,0.363636363636364,0.409090909090909,0.409090909090909,0.386363636363636,0.272727272727273,0.363636363636364,0.386363636363636,0.409090909090909,0.431818181818182,0.386363636363636,0.340909090909091,0.318181818181818,0.295454545454545,0.386363636363636,0.340909090909091,0.340909090909091,0.340909090909091,0.272727272727273,0.340909090909091,0.318181818181818,0.295454545454545,0.0454545454545455,0.363636363636364,0.340909090909091,0.340909090909091,0.318181818181818,0.363636363636364,0.318181818181818,0.386363636363636,0.318181818181818,0.5,0.25,0.318181818181818,0.0227272727272727,0.363636363636364,0.386363636363636,0.386363636363636,0.363636363636364,0.386363636363636,0.295454545454545,0.409090909090909,0.386363636363636,0.340909090909091,0.340909090909091,0.318181818181818,0.363636363636364,0.340909090909091,0.386363636363636,0.204545454545455,0.386363636363636,0.295454545454545,0.363636363636364,0.386363636363636,0.363636363636364
"10",10,"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",0.625,0.5,0.625,0.5,0.5,0.375,0.5,0.375,0.375,0.375,0.375,0.5,0.625,0.625,0.375,0.375,0.5,0.625,0.625,0.75,0.5,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.5,0.375,0.375,0.25,0,0.5,0.375,0.625,0.375,0.5,0.5,0.5,0.375,0.625,0.375,0.5,0.125,0.5,0.375,0.5,0.375,0.625,0.375,0.625,0.375,0.625,0.375,0.375,0.5,0.375,0.625,0.25,0.375,0.375,0.5,0.625,0.5
"11",11,"M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",0.388888888888889,0.361111111111111,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.416666666666667,0.416666666666667,0.305555555555556,0.305555555555556,0.305555555555556,0.333333333333333,0.361111111111111,0.361111111111111,0.388888888888889,0.25,0.333333333333333,0.333333333333333,0.361111111111111,0.361111111111111,0.361111111111111,0.333333333333333,0.305555555555556,0.277777777777778,0.361111111111111,0.305555555555556,0.305555555555556,0.305555555555556,0.222222222222222,0.333333333333333,0.305555555555556,0.305555555555556,0.0555555555555556,0.333333333333333,0.333333333333333,0.277777777777778,0.305555555555556,0.333333333333333,0.277777777777778,0.361111111111111,0.305555555555556,0.472222222222222,0.222222222222222,0.277777777777778,0,0.333333333333333,0.388888888888889,0.361111111111111,0.361111111111111,0.333333333333333,0.277777777777778,0.361111111111111,0.388888888888889,0.277777777777778,0.333333333333333,0.305555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.194444444444444,0.388888888888889,0.277777777777778,0.333333333333333,0.333333333333333,0.333333333333333
"12",12,"M00012","Glyoxylate cycle",0.636363636363636,0.545454545454545,0.636363636363636,0.545454545454545,0.363636363636364,0.454545454545455,0.545454545454545,0.363636363636364,0.272727272727273,0.454545454545455,0.454545454545455,0.545454545454545,0.636363636363636,0.545454545454545,0.454545454545455,0.363636363636364,0.545454545454545,0.545454545454545,0.545454545454545,0.636363636363636,0.545454545454545,0.363636363636364,0.272727272727273,0.454545454545455,0.545454545454545,0.545454545454545,0.363636363636364,0.545454545454545,0.363636363636364,0.272727272727273,0.363636363636364,0.181818181818182,0.0909090909090909,0.545454545454545,0.454545454545455,0.454545454545455,0.272727272727273,0.454545454545455,0.363636363636364,0.363636363636364,0.363636363636364,0.545454545454545,0.272727272727273,0.363636363636364,0,0.545454545454545,0.363636363636364,0.363636363636364,0.363636363636364,0.545454545454545,0.272727272727273,0.545454545454545,0.363636363636364,0.363636363636364,0.454545454545455,0.272727272727273,0.545454545454545,0.363636363636364,0.636363636363636,0.272727272727273,0.363636363636364,0.272727272727273,0.545454545454545,0.545454545454545,0.545454545454545
"13",13,"M00013","Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143,0,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0,0,0.285714285714286,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.285714285714286,0.142857142857143,0,0.285714285714286,0,0.285714285714286,0.142857142857143,0.428571428571429,0,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.142857142857143,0,0.285714285714286,0.142857142857143,0,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0.428571428571429,0,0.285714285714286,0.285714285714286,0.142857142857143
"14",14,"M00014","Glucuronate pathway (uronate pathway)",0.0833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0.0833333333333333,0.166666666666667,0.0833333333333333,0.25,0,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.25,0.333333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0.166666666666667,0.0833333333333333,0,0.166666666666667,0.166666666666667,0.25,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.25,0.25,0.25,0.25,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0.25,0.166666666666667,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0.25,0.166666666666667,0,0.166666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667
"15",15,"M00015","Proline biosynthesis, glutamate => proline",0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0.75,0.75,0.75,0.75,0.75,0.75,0,0.75,0.75,0.75,0.75,0.75,0,0.25,0.75,0.75,0.75,0.25,0.5,0.75,0.25,0.75,0.25,0,0.75,0.75,0.25,0,0.75,0.25,0.25,0.75,0.75,0.25,0.75,0,0.75,0.75,0.25,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0,0.75,0.75,0.75,0.25,0.75,0,0.75,0.75,0.75
