Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
Acidovorax_AEP1_4	o__Burkholderiales (UID4105)	54	553	264	3	546	4	0	0	0	99.56	1.33	0.00
Curvibacter_AEP1_3	root (UID1)	5656	56	24	0	0	56	0	0	0	100.00	100.00	100.00
Duganella_C1_2	o__Burkholderiales (UID4002)	107	574	251	3	563	8	0	0	0	99.48	1.41	12.50
MG_21Nov119-A03-L1_S156_L003_bin.4	o__Burkholderiales (UID4000)	193	427	214	13	412	2	0	0	0	99.49	0.70	0.00
MG_21Nov119-A06-L1_S159_L003_bin.7	o__Burkholderiales (UID4000)	193	427	214	24	401	2	0	0	0	95.17	0.19	0.00
MG_21Nov119-B05-L1_S164_L003_bin.2	o__Cytophagales (UID2936)	47	454	336	0	453	1	0	0	0	100.00	0.10	0.00
MG_21Nov119-B05-L1_S164_L003_bin.8	o__Burkholderiales (UID4000)	193	427	214	18	408	1	0	0	0	99.07	0.47	0.00
MG_21Nov119-D06-L1_S176_L003_bin.10	c__Alphaproteobacteria (UID3305)	564	349	230	58	290	1	0	0	0	93.91	0.22	0.00
MG_21Nov119-D06-L1_S176_L003_bin.11	o__Rickettsiales (UID3809)	83	324	211	1	319	3	1	0	0	99.53	1.90	0.00
MG_21Nov119-D06-L1_S176_L003_bin.3	o__Rhizobiales (UID3449)	345	430	257	50	375	5	0	0	0	91.15	1.00	20.00
MG_21Nov119-D06-L1_S176_L003_bin.8	k__Bacteria (UID2495)	2993	147	91	17	126	4	0	0	0	87.48	2.66	50.00
MG_21Nov119-E05-L1_S181_L003_bin.1	o__Cytophagales (UID2937)	44	474	330	2	470	2	0	0	0	99.39	0.61	50.00
MG_21Nov119-E05-L1_S181_L003_bin.16	o__Burkholderiales (UID4105)	54	553	264	2	550	1	0	0	0	99.43	0.38	0.00
MG_21Nov119-E05-L1_S181_L003_bin.2	o__Pseudomonadales (UID4488)	185	813	308	3	802	8	0	0	0	99.03	0.93	25.00
MG_21Nov119-E05-L1_S181_L003_bin.7	o__Burkholderiales (UID4000)	193	427	214	19	407	1	0	0	0	98.83	0.47	0.00
MG_21Nov119-E07-L1_S224_L004_bin.20	f__Flavobacteriaceae (UID2817)	81	511	283	150	318	41	2	0	0	72.39	7.67	2.13
